epoch,loss,lr,val_cm,train_cm,test_cm,val_accuracy,test_accuracy
128,0.06553833272482734,1.4080610235352148e-07,"[[892   5]
 [  0 841]]","[[1933   65]
 [  52 2004]]","[[677   6]
 [  0 683]]",99.71231300345224,99.56076134699853
129,0.06000886477704625,1.337657972358454e-07,"[[897   0]
 [  2 839]]","[[1949   49]
 [  59 1997]]","[[682   1]
 [  2 681]]",99.8849252013809,99.78038067349927
130,0.07068409803468968,1.2707750737405312e-07,"[[896   1]
 [  2 839]]","[[1918   80]
 [  47 2009]]","[[682   1]
 [  1 682]]",99.82738780207134,99.85358711566617
131,0.06431971702841112,1.2072363200535045e-07,"[[894   3]
 [  0 841]]","[[1920   78]
 [  44 2012]]","[[678   5]
 [  1 682]]",99.82738780207134,99.56076134699853
132,0.0710276231402531,1.1468745040508292e-07,"[[892   5]
 [  7 834]]","[[1920   78]
 [  54 2002]]","[[678   5]
 [  5 678]]",99.30955120828538,99.26793557833089
133,0.07818207849049941,1.0895307788482877e-07,"[[896   1]
 [  0 841]]","[[1925   73]
 [  69 1987]]","[[682   1]
 [  2 681]]",99.94246260069045,99.78038067349927
134,0.06828049020805338,1.0350542399058734e-07,"[[895   2]
 [  0 841]]","[[1922   76]
 [  51 2005]]","[[682   1]
 [  2 681]]",99.8849252013809,99.78038067349927
135,0.0645202446321491,9.833015279105797e-08,"[[896   1]
 [  0 841]]","[[1930   68]
 [  51 2005]]","[[683   0]
 [  0 683]]",99.94246260069045,100.0
136,0.06710017654404507,9.341364515150507e-08,"[[896   1]
 [  1 840]]","[[1929   69]
 [  63 1993]]","[[682   1]
 [  2 681]]",99.8849252013809,99.78038067349927
137,0.06768381310394034,8.874296289392981e-08,"[[896   1]
 [  1 840]]","[[1929   69]
 [  58 1998]]","[[680   3]
 [  0 683]]",99.8849252013809,99.78038067349927
138,0.05309656547615306,8.430581474923332e-08,"[[896   1]
 [  0 841]]","[[1948   50]
 [  47 2009]]","[[683   0]
 [  0 683]]",99.94246260069045,100.0
139,0.07209904215415004,8.009052401177165e-08,"[[881  16]
 [  3 838]]","[[1921   77]
 [  66 1990]]","[[668  15]
 [  4 679]]",98.90678941311853,98.60907759882869
140,0.06559498139540665,7.608599781118306e-08,"[[894   3]
 [ 36 805]]","[[1935   63]
 [  57 1999]]","[[676   7]
 [ 25 658]]",97.75604142692751,97.65739385065886
